"term"	"term_count"
"v--ana---"	4792
"n-p---fa-"	4821
"n-p---ma-"	4989
"n-p---mg-"	5082
"p-s---ma-"	5353
"l-s---md-"	5493
"n-p---mn-"	5613
"l-p---mn-"	5715
"g--------"	5806
"l-s---na-"	5823
"p-p---mg-"	5943
"v3paia---"	6624
"v3spia---"	6631
"n-s---md-"	7116
"l-s---fg-"	7288
"n-s---na-"	7736
"n-s---fd-"	7839
"n--------"	8588
"l-s---fa-"	8693
"l-s---mg-"	8838
"l-s---ma-"	8927
"n-s---fn-"	9196
"p-s---mg-"	11104
"p-s---cg-"	11214
"l-s---mn-"	11375
"b--------"	12558
"n-s---fg-"	13731
"n-s---ma-"	14242
"n-s---fa-"	15925
"n-s---mg-"	17454
"v3saia---"	18390
"n-s---mn-"	23607
"d--------"	28804
"r--------"	65113
"c--------"	80342
